step,primary_busy,successful_packets,dropped_packets,avg_queue_length,total_iot_energy,total_uav_energy,jamming_failures,collision_count,duplicate_target_count,invalid_action_rate,out_of_coverage_action_rate,jammed_transmission_rate,invalid_action_count,out_of_coverage_action_count,no_queue_selected_count,insufficient_energy_count,busy_mode_invalid_count,jammed_transmission_count,successful_backscatter_packets,successful_active_packets,attempted_backscatter_packets,attempted_active_packets,backscatter_success_rate,active_success_rate,harvested_energy_total,mode_usage_idle,mode_usage_harvest,mode_usage_backscatter,mode_usage_active,mode_usage_relay,mode_usage_avoid_jammer,greedy_fallback_count,per_uav_served_packets_uav_0,per_uav_served_packets_uav_1,per_iot_delivered_packets_iot_0,per_iot_delivered_packets_iot_1,per_iot_delivered_packets_iot_2,per_iot_delivered_packets_iot_3,per_iot_delivered_packets_iot_4,per_iot_delivered_packets_iot_5,per_iot_delivered_packets_iot_6,per_iot_delivered_packets_iot_7,per_iot_delivered_packets_iot_8,per_iot_delivered_packets_iot_9,reward_total,reward_throughput,reward_avoidance,penalty_drop,penalty_delay,penalty_energy,penalty_jamming,penalty_collision,penalty_unfairness,episode_id,policy_name,scenario_name
0.0,0.0,0.0,0.0,0.3,62.23319184940053,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0,greedy_nearest,scenario_3b_mobile_chase_uav
1.0,0.0,0.0,0.0,0.7,61.23319184940053,1999.8085786437628,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0719142135623732,0.0,0.0,0.0,0.06999999999999999,0.0019142135623730955,1.0,0.0,0.0,0,greedy_nearest,scenario_3b_mobile_chase_uav
2.0,0.0,0.0,0.0,1.1,59.23319184940053,1999.7085786437628,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.111,0.0,0.0,0.0,0.11000000000000001,0.001,2.0,0.0,0.0,0,greedy_nearest,scenario_3b_mobile_chase_uav
3.0,0.0,0.0,0.0,1.2,57.23319184940053,1999.608578643763,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.121,0.0,0.0,0.0,0.12,0.001,2.0,0.0,0.0,0,greedy_nearest,scenario_3b_mobile_chase_uav
4.0,0.0,0.0,0.0,1.5,55.23319184940053,1999.508578643763,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.151,0.0,0.0,0.0,0.15000000000000002,0.001,2.0,0.0,0.0,0,greedy_nearest,scenario_3b_mobile_chase_uav
5.0,1.0,0.0,0.0,2.0,55.23319184940053,1999.4085786437631,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.201,0.0,0.0,0.0,0.2,0.001,2.0,0.0,0.0,0,greedy_nearest,scenario_3b_mobile_chase_uav
6.0,0.0,0.0,0.0,2.2,53.23319184940053,1999.3085786437632,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.221,0.0,0.0,0.0,0.22000000000000003,0.001,2.0,0.0,0.0,0,greedy_nearest,scenario_3b_mobile_chase_uav
7.0,1.0,0.0,0.0,2.4,53.23319184940053,1999.2085786437633,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.241,0.0,0.0,0.0,0.24,0.001,2.0,0.0,0.0,0,greedy_nearest,scenario_3b_mobile_chase_uav
8.0,0.0,0.0,0.0,2.7,51.23319184940051,1999.1085786437634,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.271,0.0,0.0,0.0,0.27,0.001,2.0,0.0,0.0,0,greedy_nearest,scenario_3b_mobile_chase_uav
9.0,1.0,0.0,0.0,2.9,51.23319184940051,1999.0085786437635,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.291,0.0,0.0,0.0,0.29,0.001,2.0,0.0,0.0,0,greedy_nearest,scenario_3b_mobile_chase_uav
10.0,0.0,0.0,0.0,3.5,49.23319184940051,1998.9085786437636,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.351,0.0,0.0,0.0,0.35000000000000003,0.001,2.0,0.0,0.0,0,greedy_nearest,scenario_3b_mobile_chase_uav
11.0,1.0,0.0,0.0,4.3,49.23319184940051,1998.8085786437637,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.431,0.0,0.0,0.0,0.43,0.001,2.0,0.0,0.0,0,greedy_nearest,scenario_3b_mobile_chase_uav
